city,code,flight_number,source_id,destination_id,departure_datetime,arrival_datetime,total_seats,price,class_name,seat_class_id,class_total_Seats,class_available_seats,seat_class_id,multiplier
Berlin,BER,EH499,10,12,2025-08-09 18:11:18,2025-08-10 00:11:18,277,8604.37,Second Class,1,63,7,1,2.45
Berlin,BER,EH499,10,12,2025-08-09 18:11:18,2025-08-10 00:11:18,277,8604.37,Economy,2,36,17,2,2.07
Tokyo,TYO,CC121,3,12,2025-07-18 11:30:22,2025-07-18 19:30:22,160,6258.65,First Class,0,48,15,0,2.5
Tokyo,TYO,CC121,3,12,2025-07-18 11:30:22,2025-07-18 19:30:22,160,6258.65,Second Class,1,31,5,1,1.39
Tokyo,TYO,CC121,3,12,2025-07-18 11:30:22,2025-07-18 19:30:22,160,6258.65,Economy,2,51,29,2,2.92
Paris,PAR,MT408,2,10,2025-07-27 17:17:17,2025-07-27 22:17:17,293,7532.03,First Class,0,44,21,0,2.51
Paris,PAR,MT408,2,10,2025-07-27 17:17:17,2025-07-27 22:17:17,293,7532.03,Second Class,1,80,47,1,2.39
Paris,PAR,MT408,2,10,2025-07-27 17:17:17,2025-07-27 22:17:17,293,7532.03,Economy,2,34,1,2,2.48
Singapore,SIN,OG984,5,8,2025-08-01 11:33:41,2025-08-01 18:33:41,216,8844.34,First Class,0,40,26,0,1.61
Singapore,SIN,OG984,5,8,2025-08-01 11:33:41,2025-08-01 18:33:41,216,8844.34,Second Class,1,71,39,1,2.98
Singapore,SIN,OG984,5,8,2025-08-01 11:33:41,2025-08-01 18:33:41,216,8844.34,Economy,2,76,24,2,2.74
Toronto,YYZ,KY755,7,4,2025-08-04 22:15:09,2025-08-05 07:15:09,294,4722.45,First Class,0,88,14,0,2.04
Toronto,YYZ,KY755,7,4,2025-08-04 22:15:09,2025-08-05 07:15:09,294,4722.45,Second Class,1,36,10,1,1.13
Toronto,YYZ,KY755,7,4,2025-08-04 22:15:09,2025-08-05 07:15:09,294,4722.45,Economy,2,85,65,2,2.0
New York,NYC,YQ240,0,14,2025-07-29 04:25:25,2025-07-29 14:25:25,197,9598.16,First Class,0,91,76,0,2.46
New York,NYC,YQ240,0,14,2025-07-29 04:25:25,2025-07-29 14:25:25,197,9598.16,Second Class,1,69,54,1,2.71
New York,NYC,YQ240,0,14,2025-07-29 04:25:25,2025-07-29 14:25:25,197,9598.16,Economy,2,84,34,2,2.69
San Francisco,SFO,TD698,8,3,2025-08-15 03:03:58,2025-08-15 14:03:58,163,9387.55,First Class,0,77,9,0,1.16
San Francisco,SFO,TD698,8,3,2025-08-15 03:03:58,2025-08-15 14:03:58,163,9387.55,Second Class,1,100,40,1,2.81
San Francisco,SFO,TD698,8,3,2025-08-15 03:03:58,2025-08-15 14:03:58,163,9387.55,Economy,2,34,9,2,1.62
Paris,PAR,OE655,2,0,2025-07-20 09:28:16,2025-07-20 14:28:16,273,8858.19,First Class,0,94,17,0,1.57
Paris,PAR,OE655,2,0,2025-07-20 09:28:16,2025-07-20 14:28:16,273,8858.19,Second Class,1,87,6,1,2.16
Paris,PAR,OE655,2,0,2025-07-20 09:28:16,2025-07-20 14:28:16,273,8858.19,Economy,2,35,26,2,2.0
Hong Kong,HKG,EJ018,12,5,2025-07-26 16:52:56,2025-07-26 21:52:56,198,4032.03,First Class,0,31,2,0,1.37
Hong Kong,HKG,EJ018,12,5,2025-07-26 16:52:56,2025-07-26 21:52:56,198,4032.03,Second Class,1,38,30,1,2.73
Hong Kong,HKG,EJ018,12,5,2025-07-26 16:52:56,2025-07-26 21:52:56,198,4032.03,Economy,2,83,58,2,2.28
Dubai,DXB,YI821,4,7,2025-08-07 01:51:39,2025-08-07 08:51:39,266,8458.49,First Class,0,84,17,0,1.94
Dubai,DXB,YI821,4,7,2025-08-07 01:51:39,2025-08-07 08:51:39,266,8458.49,Second Class,1,69,34,1,2.72
Dubai,DXB,YI821,4,7,2025-08-07 01:51:39,2025-08-07 08:51:39,266,8458.49,Economy,2,86,81,2,1.96
Amsterdam,AMS,RQ262,11,7,2025-08-11 22:56:12,2025-08-12 10:56:12,162,7554.43,First Class,0,69,15,0,1.59
Amsterdam,AMS,RQ262,11,7,2025-08-11 22:56:12,2025-08-12 10:56:12,162,7554.43,Second Class,1,45,22,1,1.16
Amsterdam,AMS,RQ262,11,7,2025-08-11 22:56:12,2025-08-12 10:56:12,162,7554.43,Economy,2,75,54,2,2.57
Berlin,BER,LA744,10,12,2025-07-21 10:38:02,2025-07-21 12:38:02,191,7123.7,First Class,0,43,16,0,1.04
Berlin,BER,LA744,10,12,2025-07-21 10:38:02,2025-07-21 12:38:02,191,7123.7,Second Class,1,52,10,1,2.99
Berlin,BER,LA744,10,12,2025-07-21 10:38:02,2025-07-21 12:38:02,191,7123.7,Economy,2,50,3,2,2.71
London,LON,EX996,1,3,2025-07-20 20:29:36,2025-07-21 08:29:36,226,8848.45,First Class,0,36,30,0,1.42
London,LON,EX996,1,3,2025-07-20 20:29:36,2025-07-21 08:29:36,226,8848.45,Second Class,1,58,14,1,2.57
London,LON,EX996,1,3,2025-07-20 20:29:36,2025-07-21 08:29:36,226,8848.45,Economy,2,35,15,2,2.47
Toronto,YYZ,PY572,7,2,2025-07-21 01:57:29,2025-07-21 03:57:29,208,5145.84,First Class,0,82,14,0,2.2
Toronto,YYZ,PY572,7,2,2025-07-21 01:57:29,2025-07-21 03:57:29,208,5145.84,Second Class,1,80,12,1,2.11
Toronto,YYZ,PY572,7,2,2025-07-21 01:57:29,2025-07-21 03:57:29,208,5145.84,Economy,2,65,47,2,1.26
London,LON,VM505,1,10,2025-08-01 16:24:12,2025-08-01 19:24:12,276,6190.32,First Class,0,43,28,0,1.99
London,LON,VM505,1,10,2025-08-01 16:24:12,2025-08-01 19:24:12,276,6190.32,Second Class,1,32,21,1,2.76
London,LON,VM505,1,10,2025-08-01 16:24:12,2025-08-01 19:24:12,276,6190.32,Economy,2,68,45,2,2.06
Berlin,BER,NV956,10,3,2025-07-29 04:22:46,2025-07-29 06:22:46,281,5035.77,First Class,0,37,4,0,1.29
Berlin,BER,NV956,10,3,2025-07-29 04:22:46,2025-07-29 06:22:46,281,5035.77,Second Class,1,89,31,1,2.0
Berlin,BER,NV956,10,3,2025-07-29 04:22:46,2025-07-29 06:22:46,281,5035.77,Economy,2,77,22,2,1.99
London,LON,RL320,1,0,2025-07-22 18:49:07,2025-07-23 06:49:07,209,2673.9,First Class,0,58,25,0,2.62
London,LON,RL320,1,0,2025-07-22 18:49:07,2025-07-23 06:49:07,209,2673.9,Second Class,1,30,16,1,1.13
London,LON,RL320,1,0,2025-07-22 18:49:07,2025-07-23 06:49:07,209,2673.9,Economy,2,41,18,2,2.14
Toronto,YYZ,QR696,7,12,2025-08-14 21:16:03,2025-08-15 02:16:03,283,4324.1,First Class,0,61,31,0,2.65
Toronto,YYZ,QR696,7,12,2025-08-14 21:16:03,2025-08-15 02:16:03,283,4324.1,Second Class,1,89,73,1,2.54
Toronto,YYZ,QR696,7,12,2025-08-14 21:16:03,2025-08-15 02:16:03,283,4324.1,Economy,2,49,43,2,1.84
Singapore,SIN,AM795,5,13,2025-08-09 03:04:16,2025-08-09 10:04:16,158,4758.5,First Class,0,56,13,0,2.59
Singapore,SIN,AM795,5,13,2025-08-09 03:04:16,2025-08-09 10:04:16,158,4758.5,Second Class,1,36,32,1,1.66
Singapore,SIN,AM795,5,13,2025-08-09 03:04:16,2025-08-09 10:04:16,158,4758.5,Economy,2,71,70,2,2.16
Los Angeles,LAX,HS266,9,4,2025-08-12 21:31:10,2025-08-13 01:31:10,171,9580.09,First Class,0,96,43,0,1.89
Los Angeles,LAX,HS266,9,4,2025-08-12 21:31:10,2025-08-13 01:31:10,171,9580.09,Second Class,1,88,76,1,1.8
Los Angeles,LAX,HS266,9,4,2025-08-12 21:31:10,2025-08-13 01:31:10,171,9580.09,Economy,2,47,13,2,1.5
Singapore,SIN,TY036,5,9,2025-07-24 23:18:00,2025-07-25 10:18:00,269,4718.79,First Class,0,62,23,0,1.21
Singapore,SIN,TY036,5,9,2025-07-24 23:18:00,2025-07-25 10:18:00,269,4718.79,Second Class,1,87,13,1,2.84
Singapore,SIN,TY036,5,9,2025-07-24 23:18:00,2025-07-25 10:18:00,269,4718.79,Economy,2,84,26,2,2.13
San Francisco,SFO,NF273,8,0,2025-08-01 20:42:02,2025-08-02 01:42:02,280,4571.16,First Class,0,35,30,0,2.66
San Francisco,SFO,NF273,8,0,2025-08-01 20:42:02,2025-08-02 01:42:02,280,4571.16,Second Class,1,99,48,1,2.16
San Francisco,SFO,NF273,8,0,2025-08-01 20:42:02,2025-08-02 01:42:02,280,4571.16,Economy,2,55,54,2,2.14
Amsterdam,AMS,EV575,11,5,2025-07-23 12:26:25,2025-07-23 15:26:25,198,7326.66,First Class,0,48,17,0,1.23
Amsterdam,AMS,EV575,11,5,2025-07-23 12:26:25,2025-07-23 15:26:25,198,7326.66,Second Class,1,65,10,1,1.74
Amsterdam,AMS,EV575,11,5,2025-07-23 12:26:25,2025-07-23 15:26:25,198,7326.66,Economy,2,66,29,2,1.11
Rome,ROM,VJ120,13,3,2025-08-12 23:39:13,2025-08-13 03:39:13,210,8857.16,First Class,0,61,30,0,2.59
Rome,ROM,VJ120,13,3,2025-08-12 23:39:13,2025-08-13 03:39:13,210,8857.16,Second Class,1,37,34,1,2.73
Rome,ROM,VJ120,13,3,2025-08-12 23:39:13,2025-08-13 03:39:13,210,8857.16,Economy,2,60,59,2,2.51
Berlin,BER,LN901,10,6,2025-07-27 10:18:00,2025-07-27 16:18:00,286,7380.31,First Class,0,54,4,0,2.37
Berlin,BER,LN901,10,6,2025-07-27 10:18:00,2025-07-27 16:18:00,286,7380.31,Second Class,1,85,17,1,2.75
Berlin,BER,LN901,10,6,2025-07-27 10:18:00,2025-07-27 16:18:00,286,7380.31,Economy,2,89,80,2,1.86
Paris,PAR,JC702,2,7,2025-08-07 22:43:49,2025-08-08 06:43:49,299,7153.68,First Class,0,32,2,0,1.72
Paris,PAR,JC702,2,7,2025-08-07 22:43:49,2025-08-08 06:43:49,299,7153.68,Second Class,1,93,91,1,2.65
Paris,PAR,JC702,2,7,2025-08-07 22:43:49,2025-08-08 06:43:49,299,7153.68,Economy,2,61,33,2,1.21
Paris,PAR,LE274,2,8,2025-08-04 11:27:13,2025-08-04 20:27:13,235,8770.2,First Class,0,38,28,0,2.31
Paris,PAR,LE274,2,8,2025-08-04 11:27:13,2025-08-04 20:27:13,235,8770.2,Second Class,1,85,4,1,1.3
Paris,PAR,LE274,2,8,2025-08-04 11:27:13,2025-08-04 20:27:13,235,8770.2,Economy,2,87,69,2,1.41
San Francisco,SFO,ID978,8,1,2025-08-08 01:22:25,2025-08-08 05:22:25,232,1966.01,First Class,0,40,12,0,2.99
San Francisco,SFO,ID978,8,1,2025-08-08 01:22:25,2025-08-08 05:22:25,232,1966.01,Second Class,1,30,8,1,1.84
San Francisco,SFO,ID978,8,1,2025-08-08 01:22:25,2025-08-08 05:22:25,232,1966.01,Economy,2,85,74,2,2.8
Los Angeles,LAX,JD797,9,8,2025-07-23 20:21:17,2025-07-23 23:21:17,251,3747.77,First Class,0,74,55,0,2.5
Los Angeles,LAX,JD797,9,8,2025-07-23 20:21:17,2025-07-23 23:21:17,251,3747.77,Second Class,1,83,59,1,1.46
Los Angeles,LAX,JD797,9,8,2025-07-23 20:21:17,2025-07-23 23:21:17,251,3747.77,Economy,2,90,78,2,2.81
Sydney,SYD,XU786,6,3,2025-07-24 20:27:08,2025-07-25 06:27:08,287,9107.32,First Class,0,78,67,0,1.51
Sydney,SYD,XU786,6,3,2025-07-24 20:27:08,2025-07-25 06:27:08,287,9107.32,Second Class,1,46,25,1,2.43
Sydney,SYD,XU786,6,3,2025-07-24 20:27:08,2025-07-25 06:27:08,287,9107.32,Economy,2,55,33,2,1.04
Rome,ROM,CO993,13,6,2025-07-30 17:26:19,2025-07-31 00:26:19,157,2854.59,First Class,0,30,21,0,1.44
Rome,ROM,CO993,13,6,2025-07-30 17:26:19,2025-07-31 00:26:19,157,2854.59,Second Class,1,44,7,1,2.47
Rome,ROM,CO993,13,6,2025-07-30 17:26:19,2025-07-31 00:26:19,157,2854.59,Economy,2,38,25,2,2.35
New York,NYC,RK450,0,4,2025-07-22 19:00:22,2025-07-23 02:00:22,241,7096.18,First Class,0,53,2,0,2.64
New York,NYC,RK450,0,4,2025-07-22 19:00:22,2025-07-23 02:00:22,241,7096.18,Second Class,1,38,6,1,1.79
New York,NYC,RK450,0,4,2025-07-22 19:00:22,2025-07-23 02:00:22,241,7096.18,Economy,2,69,61,2,2.2
Hong Kong,HKG,BI634,12,1,2025-07-26 07:11:16,2025-07-26 12:11:16,211,3315.98,First Class,0,61,19,0,1.17
Hong Kong,HKG,BI634,12,1,2025-07-26 07:11:16,2025-07-26 12:11:16,211,3315.98,Second Class,1,89,88,1,2.7
Hong Kong,HKG,BI634,12,1,2025-07-26 07:11:16,2025-07-26 12:11:16,211,3315.98,Economy,2,54,34,2,2.7
Berlin,BER,WB027,10,3,2025-08-15 15:41:02,2025-08-15 22:41:02,291,2350.45,First Class,0,39,16,0,2.35
Berlin,BER,WB027,10,3,2025-08-15 15:41:02,2025-08-15 22:41:02,291,2350.45,Second Class,1,53,22,1,1.02
Berlin,BER,WB027,10,3,2025-08-15 15:41:02,2025-08-15 22:41:02,291,2350.45,Economy,2,65,46,2,2.65
San Francisco,SFO,WU289,8,2,2025-07-29 11:11:47,2025-07-29 14:11:47,284,8116.42,First Class,0,44,38,0,2.02
San Francisco,SFO,WU289,8,2,2025-07-29 11:11:47,2025-07-29 14:11:47,284,8116.42,Second Class,1,88,18,1,2.8
San Francisco,SFO,WU289,8,2,2025-07-29 11:11:47,2025-07-29 14:11:47,284,8116.42,Economy,2,72,13,2,1.59
Rome,ROM,NX690,13,4,2025-07-23 05:06:50,2025-07-23 11:06:50,204,3554.9,First Class,0,93,40,0,2.29
Rome,ROM,NX690,13,4,2025-07-23 05:06:50,2025-07-23 11:06:50,204,3554.9,Second Class,1,100,58,1,2.06
Rome,ROM,NX690,13,4,2025-07-23 05:06:50,2025-07-23 11:06:50,204,3554.9,Economy,2,98,3,2,1.93
Dubai,DXB,XR574,4,3,2025-08-11 10:03:22,2025-08-11 22:03:22,255,6469.13,First Class,0,91,72,0,1.77
Dubai,DXB,XR574,4,3,2025-08-11 10:03:22,2025-08-11 22:03:22,255,6469.13,Second Class,1,60,28,1,1.95
Dubai,DXB,XR574,4,3,2025-08-11 10:03:22,2025-08-11 22:03:22,255,6469.13,Economy,2,72,51,2,1.5
New York,NYC,YD260,0,8,2025-07-20 13:04:47,2025-07-21 01:04:47,169,2515.33,First Class,0,39,1,0,2.31
New York,NYC,YD260,0,8,2025-07-20 13:04:47,2025-07-21 01:04:47,169,2515.33,Second Class,1,57,14,1,1.33
New York,NYC,YD260,0,8,2025-07-20 13:04:47,2025-07-21 01:04:47,169,2515.33,Economy,2,61,34,2,1.85
Sydney,SYD,NM087,6,11,2025-08-10 12:57:23,2025-08-10 21:57:23,273,7150.59,First Class,0,55,44,0,1.42
Sydney,SYD,NM087,6,11,2025-08-10 12:57:23,2025-08-10 21:57:23,273,7150.59,Second Class,1,66,24,1,2.27
Sydney,SYD,NM087,6,11,2025-08-10 12:57:23,2025-08-10 21:57:23,273,7150.59,Economy,2,57,12,2,1.72
Paris,PAR,SN817,2,0,2025-07-29 23:04:52,2025-07-30 07:04:52,294,3652.07,First Class,0,35,26,0,2.3
Paris,PAR,SN817,2,0,2025-07-29 23:04:52,2025-07-30 07:04:52,294,3652.07,Second Class,1,30,10,1,2.02
Paris,PAR,SN817,2,0,2025-07-29 23:04:52,2025-07-30 07:04:52,294,3652.07,Economy,2,80,10,2,1.99
Mumbai,BOM,TZ678,14,10,2025-08-08 02:16:50,2025-08-08 05:16:50,175,9942.36,First Class,0,37,33,0,1.4
Mumbai,BOM,TZ678,14,10,2025-08-08 02:16:50,2025-08-08 05:16:50,175,9942.36,Second Class,1,89,10,1,1.79
Mumbai,BOM,TZ678,14,10,2025-08-08 02:16:50,2025-08-08 05:16:50,175,9942.36,Economy,2,35,31,2,2.33
Mumbai,BOM,KI659,14,12,2025-08-05 14:32:22,2025-08-05 20:32:22,287,9449.84,First Class,0,58,48,0,2.1
Mumbai,BOM,KI659,14,12,2025-08-05 14:32:22,2025-08-05 20:32:22,287,9449.84,Second Class,1,51,31,1,2.0
Mumbai,BOM,KI659,14,12,2025-08-05 14:32:22,2025-08-05 20:32:22,287,9449.84,Economy,2,31,0,2,2.32
Mumbai,BOM,QK087,14,6,2025-07-28 19:21:31,2025-07-29 01:21:31,194,6537.45,First Class,0,30,3,0,2.7
Mumbai,BOM,QK087,14,6,2025-07-28 19:21:31,2025-07-29 01:21:31,194,6537.45,Second Class,1,48,3,1,1.3
Mumbai,BOM,QK087,14,6,2025-07-28 19:21:31,2025-07-29 01:21:31,194,6537.45,Economy,2,100,57,2,1.79
Paris,PAR,TT218,2,14,2025-07-26 21:00:11,2025-07-27 08:00:11,151,6759.03,First Class,0,88,87,0,2.54
Paris,PAR,TT218,2,14,2025-07-26 21:00:11,2025-07-27 08:00:11,151,6759.03,Second Class,1,58,58,1,1.23
Paris,PAR,TT218,2,14,2025-07-26 21:00:11,2025-07-27 08:00:11,151,6759.03,Economy,2,75,27,2,1.88
Amsterdam,AMS,TK576,11,12,2025-08-08 06:55:05,2025-08-08 13:55:05,179,4375.22,First Class,0,70,14,0,2.07
Amsterdam,AMS,TK576,11,12,2025-08-08 06:55:05,2025-08-08 13:55:05,179,4375.22,Second Class,1,72,60,1,1.83
Amsterdam,AMS,TK576,11,12,2025-08-08 06:55:05,2025-08-08 13:55:05,179,4375.22,Economy,2,41,29,2,2.5
San Francisco,SFO,UX265,8,13,2025-08-11 18:23:05,2025-08-12 06:23:05,249,4602.68,First Class,0,94,28,0,1.22
San Francisco,SFO,UX265,8,13,2025-08-11 18:23:05,2025-08-12 06:23:05,249,4602.68,Second Class,1,47,9,1,1.98
San Francisco,SFO,UX265,8,13,2025-08-11 18:23:05,2025-08-12 06:23:05,249,4602.68,Economy,2,65,33,2,1.05
Amsterdam,AMS,GE060,11,7,2025-08-10 13:32:08,2025-08-10 17:32:08,181,5969.23,First Class,0,80,29,0,1.04
Amsterdam,AMS,GE060,11,7,2025-08-10 13:32:08,2025-08-10 17:32:08,181,5969.23,Second Class,1,73,25,1,2.75
Amsterdam,AMS,GE060,11,7,2025-08-10 13:32:08,2025-08-10 17:32:08,181,5969.23,Economy,2,47,20,2,1.76
Tokyo,TYO,KX788,3,13,2025-07-28 06:50:55,2025-07-28 18:50:55,277,8149.09,First Class,0,100,20,0,1.19
Tokyo,TYO,KX788,3,13,2025-07-28 06:50:55,2025-07-28 18:50:55,277,8149.09,Second Class,1,64,59,1,1.55
Tokyo,TYO,KX788,3,13,2025-07-28 06:50:55,2025-07-28 18:50:55,277,8149.09,Economy,2,53,6,2,1.71
Dubai,DXB,AD012,4,13,2025-08-05 05:34:36,2025-08-05 07:34:36,206,9585.47,First Class,0,35,17,0,2.25
Dubai,DXB,AD012,4,13,2025-08-05 05:34:36,2025-08-05 07:34:36,206,9585.47,Second Class,1,64,28,1,1.66
Dubai,DXB,AD012,4,13,2025-08-05 05:34:36,2025-08-05 07:34:36,206,9585.47,Economy,2,95,29,2,2.88
Singapore,SIN,ET962,5,7,2025-07-21 09:16:01,2025-07-21 20:16:01,180,9412.47,First Class,0,86,39,0,1.3
Singapore,SIN,ET962,5,7,2025-07-21 09:16:01,2025-07-21 20:16:01,180,9412.47,Second Class,1,32,14,1,1.15
Singapore,SIN,ET962,5,7,2025-07-21 09:16:01,2025-07-21 20:16:01,180,9412.47,Economy,2,45,22,2,2.23
San Francisco,SFO,NT110,8,3,2025-08-04 05:46:55,2025-08-04 17:46:55,250,4594.92,First Class,0,65,7,0,1.73
San Francisco,SFO,NT110,8,3,2025-08-04 05:46:55,2025-08-04 17:46:55,250,4594.92,Second Class,1,59,44,1,2.96
San Francisco,SFO,NT110,8,3,2025-08-04 05:46:55,2025-08-04 17:46:55,250,4594.92,Economy,2,75,7,2,2.36
Toronto,YYZ,YL813,7,9,2025-08-06 15:18:12,2025-08-06 20:18:12,265,4725.24,First Class,0,100,19,0,1.98
Toronto,YYZ,YL813,7,9,2025-08-06 15:18:12,2025-08-06 20:18:12,265,4725.24,Second Class,1,92,72,1,1.15
Toronto,YYZ,YL813,7,9,2025-08-06 15:18:12,2025-08-06 20:18:12,265,4725.24,Economy,2,41,40,2,1.21
Amsterdam,AMS,UI096,11,4,2025-07-26 06:59:39,2025-07-26 17:59:39,193,8193.37,First Class,0,76,7,0,2.45
Amsterdam,AMS,UI096,11,4,2025-07-26 06:59:39,2025-07-26 17:59:39,193,8193.37,Second Class,1,55,12,1,1.16
Amsterdam,AMS,UI096,11,4,2025-07-26 06:59:39,2025-07-26 17:59:39,193,8193.37,Economy,2,85,23,2,1.87
New York,NYC,RR574,0,13,2025-08-14 03:13:58,2025-08-14 07:13:58,277,6611.71,First Class,0,42,33,0,2.91
New York,NYC,RR574,0,13,2025-08-14 03:13:58,2025-08-14 07:13:58,277,6611.71,Second Class,1,46,8,1,2.28
New York,NYC,RR574,0,13,2025-08-14 03:13:58,2025-08-14 07:13:58,277,6611.71,Economy,2,72,3,2,1.41
Tokyo,TYO,VW283,3,14,2025-08-14 13:27:54,2025-08-15 00:27:54,207,8746.72,First Class,0,48,7,0,1.99
Tokyo,TYO,VW283,3,14,2025-08-14 13:27:54,2025-08-15 00:27:54,207,8746.72,Second Class,1,100,65,1,2.57
Tokyo,TYO,VW283,3,14,2025-08-14 13:27:54,2025-08-15 00:27:54,207,8746.72,Economy,2,97,83,2,1.79
Mumbai,BOM,MP537,14,6,2025-08-07 18:39:39,2025-08-07 22:39:39,245,3872.2,First Class,0,70,63,0,2.73
Mumbai,BOM,MP537,14,6,2025-08-07 18:39:39,2025-08-07 22:39:39,245,3872.2,Second Class,1,90,38,1,1.38
Mumbai,BOM,MP537,14,6,2025-08-07 18:39:39,2025-08-07 22:39:39,245,3872.2,Economy,2,65,0,2,1.06
Toronto,YYZ,TL007,7,11,2025-07-25 23:04:56,2025-07-26 10:04:56,252,9391.15,First Class,0,90,69,0,1.14
Toronto,YYZ,TL007,7,11,2025-07-25 23:04:56,2025-07-26 10:04:56,252,9391.15,Second Class,1,71,27,1,1.35
Toronto,YYZ,TL007,7,11,2025-07-25 23:04:56,2025-07-26 10:04:56,252,9391.15,Economy,2,38,16,2,2.9
Berlin,BER,JI949,10,12,2025-08-12 02:32:40,2025-08-12 09:32:40,251,7172.87,First Class,0,83,11,0,1.51
Berlin,BER,JI949,10,12,2025-08-12 02:32:40,2025-08-12 09:32:40,251,7172.87,Second Class,1,79,34,1,2.9
Berlin,BER,JI949,10,12,2025-08-12 02:32:40,2025-08-12 09:32:40,251,7172.87,Economy,2,66,36,2,2.27
New York,NYC,GI708,0,4,2025-07-27 15:24:51,2025-07-27 21:24:51,188,5015.27,First Class,0,77,20,0,2.21
New York,NYC,GI708,0,4,2025-07-27 15:24:51,2025-07-27 21:24:51,188,5015.27,Second Class,1,30,4,1,1.99
New York,NYC,GI708,0,4,2025-07-27 15:24:51,2025-07-27 21:24:51,188,5015.27,Economy,2,46,9,2,2.33
Berlin,BER,DQ423,10,14,2025-07-27 20:41:41,2025-07-28 04:41:41,242,1867.74,First Class,0,71,51,0,1.73
Berlin,BER,DQ423,10,14,2025-07-27 20:41:41,2025-07-28 04:41:41,242,1867.74,Second Class,1,46,4,1,1.79
Berlin,BER,DQ423,10,14,2025-07-27 20:41:41,2025-07-28 04:41:41,242,1867.74,Economy,2,97,50,2,1.03
Hong Kong,HKG,KW957,12,3,2025-08-09 03:16:21,2025-08-09 12:16:21,250,7839.59,First Class,0,36,14,0,1.42
Hong Kong,HKG,KW957,12,3,2025-08-09 03:16:21,2025-08-09 12:16:21,250,7839.59,Second Class,1,50,41,1,1.07
Hong Kong,HKG,KW957,12,3,2025-08-09 03:16:21,2025-08-09 12:16:21,250,7839.59,Economy,2,52,28,2,2.37
San Francisco,SFO,RC513,8,13,2025-08-04 12:06:20,2025-08-04 15:06:20,250,4322.1,First Class,0,95,84,0,1.52
San Francisco,SFO,RC513,8,13,2025-08-04 12:06:20,2025-08-04 15:06:20,250,4322.1,Second Class,1,76,58,1,2.39
San Francisco,SFO,RC513,8,13,2025-08-04 12:06:20,2025-08-04 15:06:20,250,4322.1,Economy,2,41,39,2,2.19
Toronto,YYZ,XS575,7,14,2025-07-28 00:34:30,2025-07-28 08:34:30,186,1587.53,First Class,0,31,19,0,1.05
Toronto,YYZ,XS575,7,14,2025-07-28 00:34:30,2025-07-28 08:34:30,186,1587.53,Second Class,1,62,22,1,2.98
Toronto,YYZ,XS575,7,14,2025-07-28 00:34:30,2025-07-28 08:34:30,186,1587.53,Economy,2,95,53,2,2.57
Tokyo,TYO,PU455,3,0,2025-07-20 10:55:44,2025-07-20 14:55:44,161,5526.02,First Class,0,45,9,0,1.79
Tokyo,TYO,PU455,3,0,2025-07-20 10:55:44,2025-07-20 14:55:44,161,5526.02,Second Class,1,69,20,1,1.21
Tokyo,TYO,PU455,3,0,2025-07-20 10:55:44,2025-07-20 14:55:44,161,5526.02,Economy,2,59,4,2,2.85
Toronto,YYZ,YN343,7,3,2025-07-31 09:21:06,2025-07-31 17:21:06,166,7008.43,First Class,0,35,22,0,1.03
